ID;Area Category;Nama Daerah;Luas Tanah (m2);Luas Bangunan (m2);Jumlah Kamar;Jumlah Km Mandi;Tingkat/Lantai;Harga rata2 Komunitas;Harga Dipasarkan (dari Owner);Harga Terjual;Terjual/Belum;Status Kepemilikan;Arah Hadap Rumah;Posisi Rumah;Lebar Jalan Depan Rumah (ROW);Pemilik Butuh Uang (Urgent);Umur Bangunan;Siap Huni (Y/N);Furnish  (Y/N);Listed Berapa Lama;Pasar;Sekolah;"Faskes/
Rumah Sakit";Mall;Tempat Ibadah;Makam;Club House;Transportasi Umum;Jalan Raya Utama
;Premium;Northwest Lake;72.00;69.00;2;2;2.00;1400000000;1350000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;1-2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes
;Standard;Bukit Palma;60.00;90.00;3;2;2.00;1000000000;1125000000;0;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;1-2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;No;No;No;Yes
;Standard;Palma Classica;210.00;100.00;4;2;1.00;2400000000;1999000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;Yes;5 - 10 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;No;No;No;Yes
;Standard;Bukit Palma;120.00;54.00;3;1;1.00;800000000;850000000;0;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil;No;> 10 Tahun;No;No;2020;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;Bukit Palma;60.00;90.00;3;2;2.00;800000000;1175000000;1025000000;Terjual;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;Bukit Palma;233.00;177.00;5;3;2.00;2000000000;3700000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Tikungan/Hook;1-2 Mobil;No;5 - 10 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;bukit Palma;84.00;120.00;3;2;2.00;1000000000;1300000000;1200000000;Terjual;Pengikatan Perjanjian Jual Beli (PPJB);Timur;Standard;> 2 Mobil;Yes;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;bukit Palma;120.00;100.00;2;1;1.00;1150000000;1300000000;0;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;bukit Palma;120.00;70.00;3;1;1.00;1150000000;1350000000;0;Belum;Hak Milik (SHM);Timur;Standard;1-2 Mobil;No;5 - 10 Tahun;Yes;Yes;2020;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;bukit Palma;122.50;94.00;3;2;1.00;1200000000;1250000000;0;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil;No;5 - 10 Tahun;No;No;2020;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Premium;citraland;180.00;220.00;4;3;2.00;3500000000;3600000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;Yes;5 - 10 Tahun;Yes;Yes;2021;Yes;Yes;No;No;No;No;No;No;Yes
;Premium;citraland;210.00;170.00;3;2;1.00;2500000000;2300000000;1900000000;Terjual;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;> 2 Mobil;Yes;> 10 Tahun;No;No;2020;No;Yes;No;No;Yes;No;No;No;Yes
;Standard;greenlake;136.00;138.00;4;4;2.00;2000000000;2600000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2020;No;No;No;No;No;No;No;No;No
;Standard;greenlake;200.00;258.00;4;3;2.00;2500000000;3750000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;No;Yes;2020;No;No;No;No;No;No;No;No;No
;Premium;wisata bukit mas;120.00;124.00;4;4;2.00;2000000000;2500000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;Yes;No;No;No;No;Yes;No;Yes
;Standard;Pondok Benowo;135.00;240.00;4;4;2.00;1500000000;2100000000;0;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes
;Premium;Darmo;372.00;400.00;5;4;2.00;10000000000;15500000000;0;Belum;Hak Milik (SHM);Utara;Tikungan/Hook;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;Yes;No;No;No;No;No;No;Yes;Yes
;Premium;Sutorejo;166.00;210.00;5;4;2.00;3000000000;3400000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;Yes;Yes;No;No;No;No;No;No;Yes
;Premium;Northwest Lake;90.00;85.00;3;3;2.00;1850000000;1800000000;0;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Premium;Northwest Lake;50.00;45.00;1;2;2.00;900000000;950000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Premium;Northwest Lake;50.00;45.00;1;2;2.00;900000000;983300000;869930000;Terjual;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Premium;Northwest Lake;105.00;96.00;3;3;2.00;1600000000;1900000000;0;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Premium;Northwest Lake;55.00;45.00;1;2;2.00;1000000000;1022700000;905430000;Terjual;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Premium;Northwest Lake;55.00;45.00;1;2;2.00;1000000000;900000000;0;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Timur;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Premium;Northwest Lake;50.00;53.00;2;2;2.00;1000000000;1020500000;903450000;Terjual;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Premium;northwest Lake;72.00;69.00;2;2;2.00;1200000000;1400000000;0;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
;Standard;northwest park;72.00;46.00;2;1;1.00;1000000000;1085200000;961680000;Terjual;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2020;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;northwest park;72.00;46.00;2;1;1.00;1000000000;900000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;northwest park;72.00;46.00;2;1;1.00;1000000000;1025200000;907680000;Terjual;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2020;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;northwest park;72.00;46.00;2;1;1.00;1000000000;1000000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;northwest park;90.00;70.00;2;2;2.00;1400000000;1600000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;No;Yes;No;No;Yes
;Standard;northwest park;72.00;46.00;2;1;1.00;800000000;825000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;No;No;Yes;No;No;Yes
;Premium;royal park;210.00;280.00;4;4;2.00;3250000000;4000000000;3150000000;Terjual;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil;Yes;1 - 4 Tahun;Yes;No;2020;No;Yes;Yes;No;No;No;No;No;Yes
;Premium;royal park;210.00;84.00;4;2;2.00;3000000000;3500000000;0;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2020;No;Yes;Yes;No;No;No;No;No;Yes
;Sangat Premium;selat golf;450.00;650.00;6;5;2.00;12000000000;13900000000;0;Belum;Hak Milik (SHM);Utara;Cul De Sac/Ujung Gang Buntu;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;Yes;No;No;No;No;Yes;No;Yes
;Standard;taman puspa raya;90.00;135.00;4;4;2.00;1800000000;2000000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2020;Yes;Yes;No;No;No;No;No;No;Yes
;Standard;darmo permai;200.00;350.00;5;2;2.00;3500000000;4400000000;0;Belum;Hak Milik (SHM);Timur;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;Yes;No;No;No;Yes;No;No;Yes;Yes
;Standard;darmo permai;200.00;135.00;4;2;1.00;3000000000;3200000000;0;Belum;Hak Milik (SHM);Timur;Standard;> 2 Mobil;No;> 10 Tahun;No;No;2021;Yes;No;No;No;Yes;No;No;Yes;Yes
;Premium;graha;766.00;540.00;6;5;2.00;14000000000;16000000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Tikungan/Hook;> 2 Mobil;No;> 10 Tahun;Yes;No;2020;No;No;Yes;Yes;No;No;Yes;No;Yes
;Standard;grand sunrise;90.00;48.00;2;1;1.00;900000000;800000000;0;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;No;No;No;No;No;No;No;Yes
;Premium;kupang indah;300.00;250.00;5;3;1.00;3300000000;3500000000;3000000000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil;Yes;> 10 Tahun;Yes;No;2020;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes
;Standard;bayleaf;60.00;40.00;2;1;1.00;400000000;500000000;0;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;1-2 Mobil;No;1 - 4 Tahun;Yes;No;2021;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes
;Standard;padmosusastro;150.00;122.00;3;2;1.00;2800000000;3500000000;0;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil;No;> 10 Tahun;No;No;2020;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes
;Premium;pakuwon indah;265.00;236.00;5;4;2.00;6000000000;6500000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;No;Yes;No;Yes;No;No;Yes;No;Yes
;Standard;pandugo;113.00;100.00;3;2;2.00;1250000000;1500000000;1250000000;Terjual;Hak Milik (SHM);Timur;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;No;No;No;Yes;No;No;Yes;Yes
;Standard;ploso;72.00;140.00;3;3;2.00;1000000000;1300000000;0;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil;No;1 - 4 Tahun;Yes;No;2020;No;Yes;No;No;Yes;No;No;Yes;Yes
;Standard;prapen;165.00;330.00;4;3;2.00;2500000000;2750000000;0;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;No;Yes;No;Yes;No;No;No;Yes
;Standard;puri surya jaya;217.00;100.00;5;2;2.00;1300000000;1400000000;0;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;Yes;No;No;Yes;No;Yes;No;No
;Standard;puri surya jaya;105.00;70.00;2;1;1.00;700000000;899000000;0;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2020;No;Yes;No;No;Yes;No;Yes;No;No
;Standard;Tenggilis;91.00;150.00;5;4;2.00;1500000000;1650000000;0;Belum;Hak Milik (SHM);Selatan;Tikungan/Hook;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;Yes;No;No;No;No;Yes
;Standard;Tenggilis;80.00;125.00;4;4;2.00;1300000000;1550000000;0;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;Yes;Yes;No;No;No;No;Yes
;Standard;royal residence;445.00;500.00;6;5;2.00;6500000000;8000000000;0;Belum;Hak Milik (SHM);Selatan;Tikungan/Hook;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2020;No;Yes;No;No;Yes;No;No;No;Yes
;Standard;taman pondok indah;140.00;200.00;4;3;2.00;2500000000;2700000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2020;Yes;Yes;No;No;Yes;No;No;No;Yes
;Standard;Palma Classica;105.00;60.00;2;1;1.00;1200000000;1200000000;0;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;Yes;Yes;Yes;No;Yes;No;No;No;Yes
;Standard;Northwest Park;72.00;54.00;2;1;1.00;1000000000;1100000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;Yes;Yes;Yes;No;No;No;No;No;Yes
;Standard;Northwest Park;105.00;90.00;3;2;2.00;1300000000;1600000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;Yes;Yes;Yes;No;No;No;No;No;Yes
;Standard;Pelican Hill;200.00;198.00;5;4;2.00;3000000000;3100000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;Yes;Yes;Yes;No;No;No;No;No;Yes
;Premium;Puri Widya;150.00;170.00;4;4;2.00;2500000000;2300000000;2000000000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil;Yes;5 - 10 Tahun;Yes;No;2021;No;Yes;Yes;No;No;No;No;No;No
;Standard;De Casa;100.00;100.00;4;3;2.00;1000000000;1500000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2021;Yes;No;No;No;Yes;No;No;Yes;Yes
;Premium;Grand Pakuwon;72.00;84.00;3;2;2.00;1500000000;1800000000;1400000000;Terjual;Hak Milik (SHM);Selatan;Standard;> 2 Mobil;Yes;1 - 4 Tahun;Yes;Yes;2021;No;Yes;No;No;No;No;No;No;No
;Standard;Grand Harvest;60.00;77.00;2;2;2.00;1100000000;1200000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;No;No;No;No;No;No;No;No
;Standard;Grand Harvest;69.00;77.00;2;2;2.00;1100000000;1200000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;No;No;No;No;No;No;No;No
;Standard;Grand Harvest;102.00;93.00;4;3;2.00;1500000000;1450000000;1250000000;Terjual;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;Yes;1 - 4 Tahun;Yes;No;2021;No;No;No;No;No;No;No;No;No
;Standard;Puri Safira;105.00;80.00;3;1;1.00;700000000;775000000;700000000;Terjual;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;Yes;No;No;Yes;No;No;Yes;Yes
;Standard;Lidah Kulon;148.50;148.50;3;3;2.00;1500000000;1750000000;1500000000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;Yes;No;No;Yes;No;No;Yes;Yes
;Standard;Simpang;187.00;240.00;4;4;2.00;2750000000;3100000000;0;Belum;Hak Milik (SHM);Timur;Tikungan/Hook;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes
;Standard;TWR;105.00;90.00;3;2;2.00;1000000000;1200000000;0;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;No;No;No;Yes;No;No;No;No
;Premium;VBM;264.00;350.00;7;4;2.00;4000000000;4300000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;No;No;No;Yes;No;No;No;Yes;Yes
;Premium;Prambanan;128.00;125.00;4;4;2.00;3750000000;4950000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2021;No;Yes;No;No;No;No;No;No;Yes
;Standard;TPI;119.00;149.00;3;1;1.00;1750000000;1700000000;1600000000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil;Yes;1 - 4 Tahun;Yes;No;2021;Yes;No;No;No;Yes;No;No;No;Yes
;Premium;WBM;240.00;330.00;5;4;2.00;3500000000;3700000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;Yes;No;Yes;Yes;No;No;No;Yes
;Standard;Babatan;175.00;115.00;4;4;2.00;1800000000;1750000000;1500000000;Terjual;Hak Milik (SHM);Selatan;Standard;1-2 Mobil;Yes;1 - 4 Tahun;Yes;No;2021;Yes;Yes;No;No;Yes;No;No;No;Yes
;Standard;Babatan;162.00;120.00;4;3;1.00;2000000000;2000000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;Yes;No;No;No;No;No;No;Yes
;Standard;Palma Classica;200.00;280.00;5;5;2.00;3000000000;3250000000;0;Terjual;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;Greenlake;105.00;140.00;4;3;2.00;1500000000;1950000000;0;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;No;No;No;No;No;No;No;No;No
;Premium;northwest lake;72.00;60.00;1;2;2.00;1200000000;1275000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2021;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;northwest park;120.00;100.00;3;2;2.00;1800000000;2000000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2021;Yes;Yes;Yes;No;No;No;No;No;Yes
;Standard;Pelican Hill;135.00;145.00;4;2;2.00;2300000000;2450000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;No;2021;No;Yes;Yes;No;Yes;No;No;No;Yes
;Standard;Pelican Hill;135.00;140.00;4;3;2.00;2300000000;2300000000;2100000000;Terjual;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil;Yes;1 - 4 Tahun;Yes;Yes;2021;No;No;Yes;No;No;No;No;No;Yes
;Premium;Puri Widya;450.00;650.00;7;6;2.00;8000000000;8500000000;0;Belum;Hak Guna Bangunan (HGB);Selatan;Cul De Sac/Ujung Gang Buntu;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;No;Yes;No;No;Yes;No;No;No;Yes
;Standard;Darmo;240.00;180.00;3;2;1.00;4000000000;4200000000;0;Belum;Hak Milik (SHM);Timur;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;Yes;Yes;No;No;No;No;No;Yes;Yes
;Standard;Darmo;200.00;280.00;5;4;2.00;3000000000;3500000000;0;Belum;Hak Milik (SHM);Timur;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;Yes;No;No;No;No;No;No;Yes;Yes
;Standard;Dukuh Kupang;140.00;280.00;5;3;2.00;1200000000;1400000000;0;Belum;Surat Hijau;Barat;Standard;1-2 Mobil;No;5 - 10 Tahun;Yes;No;2021;Yes;Yes;No;No;No;No;No;Yes;Yes
;Sangat Premium;Graha;345.00;550.00;6;5;2.00;15000000000;16000000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2021;No;No;Yes;No;No;No;No;No;Yes
;Sangat Premium;Graha;328.00;375.00;5;5;2.00;10000000000;10000000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;No;Yes;No;No;No;No;No;Yes
;Premium;kupang indah;360.00;360.00;6;5;2.00;6000000000;6500000000;0;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil;No;> 10 Tahun;Yes;Yes;2021;No;Yes;No;No;No;No;No;No;Yes
;Standard;pakal;88.00;70.00;2;1;1.00;500000000;750000000;0;Belum;Hak Guna Bangunan (HGB);Barat;Standard;1-2 Mobil;No;1 - 4 Tahun;Yes;Yes;2021;No;No;No;No;Yes;No;No;No;Yes
;Premium;pakuwon city;170.00;161.00;4;4;2.00;3500000000;4000000000;0;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil;No;1 - 4 Tahun;Yes;Yes;2021;No;Yes;No;No;No;No;No;No;Yes
;Premium;pakuwon indah;162.00;150.00;4;4;2.00;4000000000;4000000000;0;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;No;No;No;Yes;No;No;No;No;Yes
;Premium;pakuwon indah;200.00;215.00;4;5;3.00;4500000000;5750000000;0;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;No;No;Yes;No;No;No;No;Yes
;Standard;villa valensia;160.00;160.00;4;3;1.00;3000000000;2800000000;0;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil;No;5 - 10 Tahun;Yes;No;2021;No;No;No;Yes;Yes;No;No;Yes;Yes
;Standard;wisma lidah;120.00;200.00;4;4;2.00;1500000000;2000000000;0;Belum;Hak Milik (SHM);Timur;Standard;1-2 Mobil;No;5 - 10 Tahun;Yes;Yes;2021;Yes;No;No;No;Yes;No;No;No;Yes
